threshold,recall,specificity,precision,f1,TP,FP,TN,FN
0.01,1,0.07142857142857142,0.3157894736842105,0.4799999999999999,60,130,10,0
0.02,0.9833333333333333,0.15714285714285714,0.3333333333333333,0.4978902953586497,59,118,22,1
0.03,0.9666666666666667,0.19285714285714287,0.3391812865497076,0.5021645021645021,58,113,27,2
0.04,0.9666666666666667,0.22857142857142856,0.3493975903614458,0.5132743362831859,58,108,32,2
0.05,0.95,0.25,0.35185185185185186,0.5135135135135135,57,105,35,3
0.060000000000000005,0.9333333333333333,0.2857142857142857,0.358974358974359,0.5185185185185185,56,100,40,4
0.06999999999999999,0.9333333333333333,0.2857142857142857,0.358974358974359,0.5185185185185185,56,100,40,4
0.08,0.9166666666666666,0.30714285714285716,0.3618421052631579,0.5188679245283019,55,97,43,5
0.09,0.9166666666666666,0.32857142857142857,0.3691275167785235,0.5263157894736842,55,94,46,5
0.09999999999999999,0.9,0.37142857142857144,0.38028169014084506,0.5346534653465346,54,88,52,6
0.11,0.8833333333333333,0.40714285714285714,0.3897058823529412,0.5408163265306123,53,83,57,7
0.12,0.8833333333333333,0.45,0.4076923076923077,0.5578947368421052,53,77,63,7
0.13,0.8833333333333333,0.4642857142857143,0.4140625,0.5638297872340425,53,75,65,7
0.14,0.85,0.4928571428571429,0.4180327868852459,0.5604395604395604,51,71,69,9
0.15000000000000002,0.85,0.5,0.4214876033057851,0.5635359116022098,51,70,70,9
0.16,0.8166666666666667,0.5214285714285715,0.4224137931034483,0.5568181818181819,49,67,73,11
0.17,0.8,0.5357142857142857,0.4247787610619469,0.5549132947976878,48,65,75,12
0.18000000000000002,0.7833333333333333,0.55,0.42727272727272725,0.5529411764705883,47,63,77,13
0.19,0.7666666666666667,0.55,0.42201834862385323,0.5443786982248521,46,63,77,14
0.2,0.7666666666666667,0.5714285714285714,0.4339622641509434,0.5542168674698795,46,60,80,14
0.21000000000000002,0.7166666666666667,0.5928571428571429,0.43,0.5375,43,57,83,17
0.22,0.6666666666666666,0.6,0.4166666666666667,0.5128205128205129,40,56,84,20
0.23,0.6666666666666666,0.6,0.4166666666666667,0.5128205128205129,40,56,84,20
0.24000000000000002,0.6333333333333333,0.6214285714285714,0.4175824175824176,0.5033112582781457,38,53,87,22
0.25,0.6166666666666667,0.6214285714285714,0.4111111111111111,0.4933333333333334,37,53,87,23
0.26,0.5833333333333334,0.6357142857142857,0.4069767441860465,0.4794520547945206,35,51,89,25
0.27,0.5833333333333334,0.65,0.4166666666666667,0.48611111111111116,35,49,91,25
0.28,0.5833333333333334,0.6642857142857143,0.4268292682926829,0.4929577464788732,35,47,93,25
0.29000000000000004,0.5833333333333334,0.6714285714285714,0.43209876543209874,0.4964539007092198,35,46,94,25
0.3,0.5833333333333334,0.6714285714285714,0.43209876543209874,0.4964539007092198,35,46,94,25
0.31,0.5833333333333334,0.7,0.45454545454545453,0.5109489051094891,35,42,98,25
0.32,0.5833333333333334,0.7071428571428572,0.4605263157894737,0.5147058823529412,35,41,99,25
0.33,0.5833333333333334,0.7142857142857143,0.4666666666666667,0.5185185185185186,35,40,100,25
0.34,0.5833333333333334,0.7142857142857143,0.4666666666666667,0.5185185185185186,35,40,100,25
0.35000000000000003,0.5833333333333334,0.7214285714285714,0.47297297297297297,0.5223880597014926,35,39,101,25
0.36000000000000004,0.5833333333333334,0.7357142857142858,0.4861111111111111,0.5303030303030304,35,37,103,25
0.37,0.55,0.7357142857142858,0.4714285714285714,0.5076923076923078,33,37,103,27
0.38,0.5333333333333333,0.7428571428571429,0.47058823529411764,0.5,32,36,104,28
0.39,0.5166666666666667,0.7428571428571429,0.4626865671641791,0.4881889763779528,31,36,104,29
0.4,0.5166666666666667,0.75,0.4696969696969697,0.4920634920634921,31,35,105,29
0.41000000000000003,0.5,0.7642857142857142,0.47619047619047616,0.4878048780487805,30,33,107,30
0.42000000000000004,0.48333333333333334,0.7642857142857142,0.46774193548387094,0.4754098360655738,29,33,107,31
0.43,0.48333333333333334,0.7857142857142857,0.4915254237288136,0.48739495798319327,29,30,110,31
0.44,0.48333333333333334,0.7928571428571428,0.5,0.4915254237288135,29,29,111,31
0.45,0.48333333333333334,0.8,0.5087719298245614,0.4957264957264957,29,28,112,31
0.46,0.48333333333333334,0.8,0.5087719298245614,0.4957264957264957,29,28,112,31
0.47000000000000003,0.48333333333333334,0.8285714285714286,0.5471698113207547,0.5132743362831859,29,24,116,31
0.48000000000000004,0.45,0.8428571428571429,0.5510204081632653,0.4954128440366973,27,22,118,33
0.49,0.45,0.85,0.5625,0.5,27,21,119,33
0.5,0.45,0.85,0.5625,0.5,27,21,119,33
0.51,0.45,0.8571428571428571,0.574468085106383,0.5046728971962617,27,20,120,33
0.52,0.45,0.8642857142857143,0.5869565217391305,0.5094339622641509,27,19,121,33
0.53,0.45,0.8714285714285714,0.6,0.5142857142857143,27,18,122,33
0.54,0.45,0.8785714285714286,0.6136363636363636,0.5192307692307692,27,17,123,33
0.55,0.4166666666666667,0.8785714285714286,0.5952380952380952,0.4901960784313726,25,17,123,35
0.56,0.4166666666666667,0.8785714285714286,0.5952380952380952,0.4901960784313726,25,17,123,35
0.5700000000000001,0.4,0.8785714285714286,0.5853658536585366,0.4752475247524752,24,17,123,36
0.5800000000000001,0.38333333333333336,0.8785714285714286,0.575,0.4600000000000001,23,17,123,37
0.59,0.38333333333333336,0.9,0.6216216216216216,0.4742268041237113,23,14,126,37
0.6,0.38333333333333336,0.9,0.6216216216216216,0.4742268041237113,23,14,126,37
0.61,0.36666666666666664,0.9,0.6111111111111112,0.45833333333333326,22,14,126,38
0.62,0.35,0.9071428571428571,0.6176470588235294,0.4468085106382979,21,13,127,39
0.63,0.31666666666666665,0.9214285714285714,0.6333333333333333,0.4222222222222222,19,11,129,41
0.64,0.23333333333333334,0.9285714285714286,0.5833333333333334,0.33333333333333337,14,10,130,46
0.65,0.23333333333333334,0.9357142857142857,0.6086956521739131,0.3373493975903614,14,9,131,46
0.66,0.23333333333333334,0.9428571428571428,0.6363636363636364,0.34146341463414637,14,8,132,46
0.67,0.21666666666666667,0.95,0.65,0.325,13,7,133,47
0.68,0.2,0.9642857142857143,0.7058823529411765,0.3116883116883117,12,5,135,48
0.6900000000000001,0.2,0.9642857142857143,0.7058823529411765,0.3116883116883117,12,5,135,48
0.7000000000000001,0.2,0.9642857142857143,0.7058823529411765,0.3116883116883117,12,5,135,48
0.7100000000000001,0.2,0.9714285714285714,0.75,0.31578947368421056,12,4,136,48
0.72,0.18333333333333332,0.9714285714285714,0.7333333333333333,0.2933333333333333,11,4,136,49
0.73,0.18333333333333332,0.9714285714285714,0.7333333333333333,0.2933333333333333,11,4,136,49
0.74,0.18333333333333332,0.9714285714285714,0.7333333333333333,0.2933333333333333,11,4,136,49
0.75,0.15,0.9785714285714285,0.75,0.24999999999999997,9,3,137,51
0.76,0.11666666666666667,0.9928571428571429,0.875,0.20588235294117646,7,1,139,53
0.77,0.11666666666666667,0.9928571428571429,0.875,0.20588235294117646,7,1,139,53
0.78,0.1,0.9928571428571429,0.8571428571428571,0.17910447761194032,6,1,139,54
0.79,0.08333333333333333,0.9928571428571429,0.8333333333333334,0.15151515151515152,5,1,139,55
0.8,0.08333333333333333,0.9928571428571429,0.8333333333333334,0.15151515151515152,5,1,139,55
0.81,0.08333333333333333,0.9928571428571429,0.8333333333333334,0.15151515151515152,5,1,139,55
0.8200000000000001,0.08333333333333333,1,1,0.15384615384615385,5,0,140,55
0.8300000000000001,0.06666666666666667,1,1,0.125,4,0,140,56
0.8400000000000001,0.03333333333333333,1,1,0.06451612903225806,2,0,140,58
0.85,0.03333333333333333,1,1,0.06451612903225806,2,0,140,58
0.86,0.03333333333333333,1,1,0.06451612903225806,2,0,140,58
0.87,0.03333333333333333,1,1,0.06451612903225806,2,0,140,58
0.88,0.03333333333333333,1,1,0.06451612903225806,2,0,140,58
0.89,0.03333333333333333,1,1,0.06451612903225806,2,0,140,58
0.9,0.03333333333333333,1,1,0.06451612903225806,2,0,140,58
0.91,0.016666666666666666,1,1,0.03278688524590164,1,0,140,59
0.92,0.016666666666666666,1,1,0.03278688524590164,1,0,140,59
0.93,0.016666666666666666,1,1,0.03278688524590164,1,0,140,59
0.9400000000000001,0.016666666666666666,1,1,0.03278688524590164,1,0,140,59
0.9500000000000001,0.016666666666666666,1,1,0.03278688524590164,1,0,140,59
0.9600000000000001,0,1,NA,NA,0,0,140,60
0.97,0,1,NA,NA,0,0,140,60
0.98,0,1,NA,NA,0,0,140,60
0.99,0,1,NA,NA,0,0,140,60
